No,ID_SERVICE,ID_TT43,Name_Method,Class,Group
61,01.0018.0004,1.18,Siêu âm tim cấp cứu tại giường,Siêu âm,Exclude
62,01.0187.0118,1.187,Lọc máu liên tục cấp cứu (CVVH) cho người bệnh suy thận cấp do tiêu cơ vân nặng,Các thủ thuật và dịch vụ Nội soi,Exclude
63,01.0188.0117,1.188,Lọc màng bụng cấp cứu liên tục,Các thủ thuật và dịch vụ Nội soi,Exclude
64,01.0188.0116,1.188,Lọc màng bụng cấp cứu liên tục,Các thủ thuật và dịch vụ Nội soi,Exclude
65,01.0189.0119,1.189,Lọc và tách huyết tương chọn lọc,Các thủ thuật và dịch vụ Nội soi,Exclude
66,01.0191.0195,1.191,Lọc máu hấp phụ bằng quả lọc resin,Các thủ thuật và dịch vụ Nội soi,Exclude
67,01.0192.0119,1.192,Thay huyết tương sử dụng huyết tương,Các thủ thuật và dịch vụ Nội soi,Exclude
68,01.0193.0119,1.193,Thay huyết tương sử dụng albumin,Các thủ thuật và dịch vụ Nội soi,Exclude
69,01.0194.0119,1.194,Lọc huyết tương sử dụng 2 quả lọc,Các thủ thuật và dịch vụ Nội soi,Exclude
70,01.0195.0119,1.195,"Thay huyết tương trong hội chứng Guillain-Barré, nhược cơ",Các thủ thuật và dịch vụ Nội soi,Exclude
71,01.0196.0119,1.196,Thay huyết tương trong lupus ban đỏ rải rác,Các thủ thuật và dịch vụ Nội soi,Exclude
72,01.0019.0004,1.19,Siêu âm Doppler mạch cấp cứu tại giường,Siêu âm,Exclude
73,01.0197.0119,1.197,Thay huyết tương trong hội chứng xuất huyết giảm tiểu cầu tắc mạch (hội chứng TTP),Các thủ thuật và dịch vụ Nội soi,Exclude
74,01.0198.0119,1.198,Thay huyết tương trong suy gan cấp,Các thủ thuật và dịch vụ Nội soi,Exclude
75,01.0199.0119,1.199,Lọc máu hấp phụ với than hoạt trong ngộ độc cấp,Các thủ thuật và dịch vụ Nội soi,Exclude
76,01.0200.0110,1.200,Lọc máu hấp phụ phân tử tái tuần hoàn (gan nhân tạo - MARS),Các thủ thuật và dịch vụ Nội soi,Exclude
77,01.0201.0849,1.201,Soi đáy mắt cấp cứu,Mắt,Exclude
78,01.0202.0083,1.202,Chọc dịch tuỷ sống,Các thủ thuật và dịch vụ Nội soi,Exclude
79,01.0203.1775,1.203,Ghi điện cơ cấp cứu,Thăm dò chức năng,Exclude
80,01.0020.0001,1.20,Siêu âm dẫn đường đặt catheter tĩnh mạch cấp cứu,Siêu âm,Exclude
81,01.0207.1777,1.207,Ghi điện não đồ cấp cứu,Thăm dò chức năng,Exclude
82,01.0208.0004,1.208,Siêu âm Doppler xuyên sọ,Siêu âm,Exclude
83,01.0209.0099,1.209,Dẫn lưu não thất cấp cứu ≤ 8 giờ,Các thủ thuật và dịch vụ Nội soi,Exclude
84,01.0021.0001,1.21,Siêu âm dẫn đường đặt catheter động mạch cấp cứu,Siêu âm,Exclude
85,01.0216.0103,1.216,Đặt ống thông dạ dày,Các thủ thuật và dịch vụ Nội soi,Exclude
86,01.0217.0502,1.217,Mở thông dạ dày bằng nội soi,Ngoại khoa,Exclude
87,01.0218.0159,1.218,Rửa dạ dày cấp cứu,Các thủ thuật và dịch vụ Nội soi,Exclude
88,01.0219.0160,1.219,Rửa dạ dày loại bỏ chất độc bằng hệ thống kín,Các thủ thuật và dịch vụ Nội soi,Exclude
